position,company,wages,place,education,work_experience,release_date,limit_people,address,company_type,company_size,industry,point_information
Python开发工程师,上海知汇云信息技术股份有限公司,1-1.5万/月,上海-浦东新区,大专,3-4年经验,07-04发布,招1人,郭守敬路498号浦东软件园25号楼,民营公司,50-150人,"计算机软件,教育/培训/院校","1. Linux应用软件开发、python软件开发，有基本的计算机基础理论知识，熟悉常用数据机构与算法2. 熟悉linux操作系统（centos）,精通python开发，熟悉linux、python相关的开源软件、项目，熟悉开源软件开发方法、工具，精通socket编程、python库和Web API框架3. 熟悉MySQL/PostgreSQL等关系型数据库，熟悉SQL语言4. 对TCP/IP,HTTP等常用协议有基本的了解，能完整叙述一次HTTP请求从客户端到服务器端所经过的各个环节5. 有基本的前端技能，了解基本的网页设计知识，如HTML、CSS、JavaScript、jQuery职能类别：Python开发工程师关键字：python软件工程师开发微信分享"
python爬虫工程师,南京君度科技有限公司,1-2万/月,南京,本科,5-7年经验,07-04发布,招1人,江宁区秣周东路11号9号楼（双子楼）15层,民营公司,150-500人,计算机软件,1、负责公司产品需求抓取及格式化信息；2、负责对爬取数据进行分类和解析；3、负责开发高性能抓取架构，支持业务发展；4、负责带领团队进行技术分析，制订相关的技术解决方案，爬虫技术公关和平台运维相关工作。任职要求：1.本科及以上学历，五年以上互联网爬虫经验；2.做过3个及以上爬虫项目，爬过一些主流媒体，例如百度、腾讯网、搜狐、微博等；3.精准和熟练运用python编程，爬虫为主，ai和数据处理为辅；4.熟练使用 Python 进行抓取及格式化信息提取、大数据分析等；5.熟练掌握消息队列，定时，异步任务，具有高并发大数据量系统的开发和维护经验；6.具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于解决问题和分析问题。良好的团队合作精神，较强的沟通能力。职能类别：Python开发工程师微信分享
测试开发（python）,深圳市德科信息技术有限公司,0.8-1.3万/月,广州-天河区,本科,1年经验,07-04发布,招2人,科韵路信息港网易大厦,合资,1000-5000人,"计算机软件,计算机服务(系统、数据服务、维修)",职位描述：1.负责游戏测试工具开发及维护、游戏性能测试和优化相关工作。2.挖掘能提升游戏质量、和游戏性能测试的工具需求，并能独立完成工具架构和模块设计、编码、测试、文档编写、使用推广等工作。3.对web开发、移动操作系统、游戏开发等技术进行研究和普及。职位要求：1.本科或以上计算机相关学历；2.熟练掌握Python编程，熟悉C++、Go更佳；3.熟悉unity、cocos等常用游戏引擎，有开发或测试经验更加；4.能够熟练在Linux环境下进行开发和调试5.具备良好学习、沟通能力及团队协作精神，对工作积极严谨，有责任感；6.能够承受工作压力，具备工作主动性和执行力。职能类别：测试开发关键字：python开发测试微信分享
python开发工程师（量化开发）,Crypto.com,2.5-5万/月,深圳-南山区,本科,2年经验,07-04发布,招若干人,大冲商务中心A栋,外资（非欧美）,50-150人,计算机软件,Crypto.com成立于2016年，致力于一个简单的信念：掌控资产、数据及身份是每个人的基本权利。如今，Crypto.com拥有超过200万用户，为用户满足传统金融服务需求提供另一选择旨在实现“让每个人的钱包里都有区块链资产“的愿景。Crypto.com建立在安全，隐私及合规的稳定基础上，是全球一家同时具有CCSS 3级，ISO 27001：2013及PCI：DSS 3.2.1 1级认证的区块链资产公司。Crypto.com的总部设于香港，並拥有250多人的强大团队。如欲了解更多资讯，请浏览 www.crypto.com。关于这个职位：诚聘优秀的全栈量化交易员加入我们的团队！你将会参与开发我们的量化分析系统和执行交易策略。岗位职责：设计和开发我们的自动化交易系统，包括和交易所连接，订单管理以及风险管理系统；开发交易策略，包括做市，对冲，套利；特定的策略回测以及盘后交易分析;自动化交易/核对/分析的工作流程；技术支持；岗位要求：211本科及以上学历，计算机科学、统计学、电子工程或相关专业；3年以上的软件开发经验；熟练使用Python，且至少熟悉C/C++/C#/Java其中一种语言；熟悉使用Git之类版本管理工具；熟悉SQL和No-SQL数据库；熟悉Redis或MemCached缓存技术；具备基本的统计学知识（例如：假设检验、概率分布等）；具备大规模数据管理（TB+）经验者优先职能类别：Python开发工程师软件工程师关键字：python软件开发软件工程师开发量化微信分享
PHP开发工程师&python,北京西骏数据科技股份有限公司,1-1.5万/月,北京-海淀区,本科,3-4年经验,07-04发布,招10人,北京市海淀区西小口路66号东升科技园,民营公司,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)",1. 软件开发方向： 基于PHP的web后端应用程序开发；2. 软件编码开发： 按照企业规范进行程序编码及界面开发；3. 产品质量控制： 配合产品需求及界面美工设计实现产品功能模块开发，高质量完成程序代码，并进行严格的内部测试；4.软件产品化：协助实现软件的产品化，包括编写功能介绍、通用API接口、自动化安装配置升级、图形界面优化等。5.熟悉django，6.熟悉wsgi，能够搭建python web的运行环境7.熟练使用django操作数据库，操作消息队列8.能够使用python进行http接口调用者和提供者的开发，9.熟悉postgresql和mongodb10.2年以上python web工作经验，使用python web开发项目并落地使用任职资格1.至少3年以上PHP后台项目开发经验项目开发经验。2.熟练掌握PHP，熟悉面向对象的软件设计方法； 熟悉MVC三层架构的开发；3.熟练掌握一到两种PHP框架，熟悉yii2框架优先；4.熟悉mysql，具备mysql优化经验。有mysql分区、分表、集群等相关设计方案经验者优先；5.熟悉memcache、redis、mongodb等常用nosql解决方案，了解各自的优缺点以及使用场景；6.熟悉web开发中各类缓存设计、站点优化方案；7.良好的代码习惯，结构清晰、命名规范、逻辑性强、代码冗余率低；8.有快速学习能力，善于抽象、总结、思考，对技术有执着追求者优先考虑。职能类别：Python开发工程师PHP开发工程师关键字：pythonphp开发微信分享
爬虫开发工程师（Python）,深圳市途铭科技有限公司,1-1.5万/月,深圳-龙华新区,本科,1年经验,07-04发布,招1人,深圳市龙华区龙胜路融创智汇大厦C栋1308室,民营公司,少于50人,"互联网/电子商务,计算机软件","岗位职责:1、负责设计、开发、维护、重构分布式的网络爬虫，包括调度、抓取、维护、验证等爬虫工作；2、负责网页信息抓取结果的抽取、数据清洗、分类、聚类等研发工作；3、主要爬取1688、facebook、shopify产品，图片，视频等信息。任职需求：1、2年以上python使用经验，熟悉常用python库的使用，熟悉面向对象编程；2、熟悉常见反爬技术，能处理各种反爬问题者优先；3、掌握正则表达式、xpath、beautifulsoup4、css选择器等信息抽取技术；4、熟悉Selenium , 能使用Selenium编写各种脚本（必须）；5、熟练使用多线程 , 多进程技术；6、有图像识别经验的优先考虑。员工福利：1、入职即购买五险一金；2、带薪年假及年终奖金；3、员工生日福利；4、每年一次年度旅游；5、节假日福利津贴；6、月度全勤奖励；7、个人绩效奖+团队奖；8、岗位相关技能培训。职能类别：爬虫开发工程师Python开发工程师关键字：CSSPython网络爬虫技术微信分享"
python后台开发工程师（交付部）(J12614),绿盟科技,1.5-2万/月,武汉-东湖新技术产业开发区,本科,3-4年经验,07-04发布,招若干人,光谷软件园A9座,合资,1000-5000人,"计算机软件,计算机服务(系统、数据服务、维修)","工作职责:工作职责：1、从事Web应用系统的后台业务设计和开发任务；2、参与研发过程中的需求分析、需求拆解和架构设计；3、参与研发项目过程管理和技术管理。4、日常技术分享，文档编写，和其他各个职位沟通协作；5、致力于提高产品用户体验；6、致力于开阔技术视野，钻研前沿技术。任职资格:任职资格：1、熟悉Python编程语言，熟悉Django/Flask等任意Web框架一种或者多种，具备开发Web应用系统的项目经验。2、熟悉PostgreSQL或MySQL数据库操作，熟悉SQL语句编写和性能调优。3、具备web应用架构能力，能熟练使用常用设计模式。4、有Linux环境使用经验，可以看懂并简单修改Bash/C/Python/Java代码。5、理解并使用过源码管理工具/单元测试框架 /自动化测试工具。6、沟通能力，自学能力强，有强烈的求知欲，有独立解决分析、解决问题的能力，良好的团队合作意识。7、无障碍阅读英文文档。8、本科及以上学历，3年以上工作经验。9、具备研发项目计划管理能力，保证项目按时高质量交付。要求能估计工时和度量工作量、制订计划和执行计划、熟悉风险管理、熟悉计划跟踪。10、具备需求分析能力和系统设计能力。有以下技能者加分：1、关注或参与过一个以上的开源项目,理解开源软件的开发流程；2、有安全或大数据的从业经验；3、有数据挖掘经验。4、熟悉敏捷开发流程。5、具备网络安全行业背景。职能类别：Python开发工程师微信分享"
高级Python开发工程师,北京博兴高科科技有限公司,1.5-2万/月,北京-海淀区,本科,3-4年经验,07-04发布,招2人,清华科技园,民营公司,50-150人,"计算机软件,互联网/电子商务","岗位职责】1、负责公司研发体系核心业务系统产品开发，参与数据中台搭建、开发、维护、优化，系统日常管理、维护和监控；2、参与安全工具的开发工作，能在指导下完成相关安全工具的开发，编写相关文档；3、参与系统需求分析、设计及开发，保证产品的稳定性及性能；4、独立完成系统详细设计，带领团队完成模块开发，并能指导团队成员，协助团队成员解决技术问题；5、与公司各部门或其他研发小组紧密配合协调，开发构建完整商业闭环需求。【职位要求】1、本科以上学历（211/985），三年以上相关工作经验，熟练掌握Python、SQL，有扎实的编程基础；2、熟悉linux平台开发，熟悉常用的爬虫框架和工具，熟悉Numpy和Pandas等Python数据处理工具，熟练git使用；3、熟悉MongoDB、Redis、Mysql，掌握celery，了解分布式计算框架Spark, 有 Kafka, Redis, Hadoop, Elasticsearch等使用经验者优先；4、自我驱动，责任心强，执行力强，学习适应能力强，能挑战自我不断追求卓越;5、能独立解决实际开发过程碰到的各类疑难杂症；数据分析能力强，思维逻辑清晰，对事物有较强的领悟能力，熟悉分布式开发，有大规模分布式开发和部署经验优先;6、具有互联网数据产品经验，对数据敏感，有大数据应用、数据平台搭建优先，有安全技术背景或安全公司背景优先。职能类别：Python开发工程师关键字：pythonSQLMongoDBRedisMysqlHadoopcelery微信分享"
Python开发工程师,云南翔联航空服务有限责任公司,1-1.5万/月,杭州-滨江区,本科,1年经验,07-04发布,招30人,江虹路410号,民营公司,500-1000人,航天/航空,"岗位职责：1、负责手机相关测试自动化工具开发。2、程序界面开发，自动化设备控制。任职要求：1、统招二本以上学历，计算机、通信等相关专业本科及以上学历，有1-3的python开发经验，熟练使用linux操作系统2、有较强的程序设计能力，一年以上软件开发经验,曾经独立负责设计、开发、调试交付过模块级代码(1K行以上有效代码)3、熟悉软件开发流程,理解敏捷开发理念,熟悉面向对象软件设计模式4、会Java/C/Python语言，Python要求精通和掌握程度，能够根据需要引入Python开源库和第三方软件包，结合业务展开二次开发5、有图像处理的算法经验中软国际职能类别：Python开发工程师关键字：python微信分享"
Python开发工程师,金金科计算机技术（北京）有限公司,1.5-3万/月,北京-海淀区,本科,3-4年经验,07-04发布,招1人,蓝靛厂东路2号院金源时代商务中心,民营公司,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)",1、 配合项目经理，完成公司项目的接口开发；2、独立分析、评估并解决问题，能够在较短时间内寻求最优解决方案；任职要求：1、一本院校计算机相关专业统招本科毕业；2、3年以上开发经验，能够熟练使用python语言有系统层面（如面向服务器、网络设备等）研发经验2年以上；3、熟悉Linux，能进行基本的常用操作；4、熟悉网络HTTP、TCP等网络协议，熟悉网络编程；5、具有大型网站或高并发系统开发、设计工作经验者优先；6、责任心强，自我驱动力强，具有良好的沟通和团队协作能力，主动，好学。职能类别：Python开发工程师关键字：python开发工程师微信分享
